week_start,PSOS_MMW_Name,true,pred
2024-10-28,Midlothian East,1,0
2024-10-28,"Lochgelly, Cardenden and Benarty",0,0
2024-10-28,Morningside,0,0
2024-10-28,Maryhill,0,0
2024-10-28,Inverclyde West,0,0
2024-10-28,Beinn na Foghla agus Uibhist a Tuath,0,0
2024-10-28,Govan,1,0
2024-10-28,Kirkintilloch East and North and Twechar,0,0
2024-10-28,Clydebank Central,0,0
2024-10-28,Kincorth/Nigg/Cove,0,0
2024-10-28,Partick East/Kelvindale,1,0
2024-10-28,Tweeddale West,0,0
2024-10-28,Central Buchan,0,0
2024-10-28,East Centre,1,0
2024-10-28,Troon,0,0
2024-10-28,Motherwell South East and Ravenscraig,1,0
2024-10-28,Giffnock and Thornliebank,0,0
2024-10-28,Selkirkshire,0,0
2024-10-28,Coatbridge South,1,0
2024-10-28,Glenboig and Moodiesburn,0,0
2024-10-28,Torry/Ferryhill,1,0
2024-10-28,George St/Harbour,0,0
2024-10-28,Kilmarnock South,0,0
2024-10-28,Turriff and District,0,0
2024-10-28,Lower Deeside,0,0
2024-10-28,Dalry and West Kilbride,0,0
2024-10-28,Bonnyrigg,0,0
2024-10-28,Airdrie North,0,0
2024-10-28,Irvine Valley,0,0
2024-10-28,Fountainbridge/Craiglockhart,0,0
2024-10-28,Paisley North East and Ralston,0,0
2024-10-28,Cowal,0,0
2024-10-28,Kilpatrick,0,0
2024-10-28,East End,0,0
2024-10-28,North Isles - Orkney,0,0
2024-10-28,Victoria Park,1,0
2024-10-28,Ayr North,1,0
2024-10-28,Tweeddale East,0,0
2024-10-28,Wishaw,0,0
2024-10-28,Hawick and Hermitage,0,0
2024-10-28,Bearsden South,0,0
2024-10-28,"Burntisland, Kinghorn and Western Kirkcaldy",0,0
2024-10-28,Pentland Hills,1,0
2024-10-28,Penicuik,0,0
2024-10-28,Milngavie,0,0
2024-10-28,Caol and Mallaig,0,0
2024-10-28,Motherwell North,0,0
2024-10-28,Stirling North,0,0
2024-10-28,Leven,1,0
2024-10-28,Westhill and District,0,0
2024-10-28,Inverclyde Central,0,0
2024-10-28,Ardrossan and Arran,0,0
2024-10-28,Stranraer and the Rhins,1,0
2024-10-28,Inverness Central,1,0
2024-10-28,Kilsyth,0,0
2024-10-28,Kintyre and the Islands,0,0
2024-10-28,Glenrothes Central and Thornton,1,0
2024-10-28,Jedburgh and District,0,0
2024-10-28,East Kilbride Central North,1,0
2024-10-28,Avondale and Stonehouse,0,0
2024-10-28,Linn,1,0
2024-10-28,Keith and Cullen,0,0
2024-10-28,Irvine East,0,0
2024-10-28,Maryfield,1,0
2024-10-28,North East - Glasgow,0,0
2024-10-28,Helensburgh Central,0,0
2024-10-28,Clydesdale East,0,0
2024-10-28,Hillhead,0,0
2024-10-28,Hazlehead/Queens Cross/Countesswells,0,0
2024-10-28,East Kilbride Central South,0,0
2024-10-28,Airdrie South,0,0
2024-10-28,Bonnybridge and Larbert,1,0
2024-10-28,Lochar,0,0
2024-10-28,"Barrhead, Liboside and Uplawmoor",1,0
2024-10-28,Coatbridge West,0,0
2024-10-28,Monifieth & Sidlaw,0,0
2024-10-28,"Johnstone North, Kilbarchan, Howwood and Lochwinnoch",1,0
2024-10-28,Doon Valley,0,0
2024-10-28,East Kilbride West,0,0
2024-10-28,Dennistoun,1,0
2024-10-28,Forth and Endrick,0,0
2024-10-28,Oban South and the Isles,1,0
2024-10-28,Glenrothes West and Kinglassie,0,0
2024-10-28,Bellshill,1,0
2024-10-28,"Tranent, Wallyford and Macmerry",0,0
2024-10-28,Sgire an Rubha,0,0
2024-10-28,"East Mainland, South Ronaldsay and Burray",0,0
2024-10-28,Ayr West,0,0
2024-10-28,City Centre,1,0
2024-10-28,Oban North and Lorn,0,0
2024-10-28,Nith,0,0
2024-10-28,Kilmarnock West and Crosshouse,1,0
2024-10-28,Black Isle,0,0
2024-10-28,Midstocket/Rosemount,0,0
2024-10-28,Haddington and Lammermuir,0,0
2024-10-28,North Coast and Cumbraes,0,0
2024-10-28,Forres,0,0
2024-10-28,Strathmore,0,0
2024-10-28,Irvine South,0,0
2024-10-28,Inverleith,0,0
2024-10-28,Montrose & District,0,0
2024-10-28,Dee and Glenkens,0,0
2024-10-28,Leaderdale and Melrose,0,0
2024-10-28,Colinton/Fairmilehead,0,0
2024-10-28,Annandale East and Eskdale,0,0
2024-10-28,Hilton/Woodside/Stockethill,0,0
2024-10-28,Kirkcaldy East,1,0
2024-10-28,"Buckhaven, Methil and Wemyss Villages",0,0
2024-10-28,The Ferry,0,0
2024-10-28,East Garioch,0,0
2024-10-28,Inverness Millburn,0,0
2024-10-28,Denny and Banknock,0,0
2024-10-28,Fortissat,0,0
2024-10-28,Paisley North West,1,0
2024-10-28,Kirkcaldy Central,0,0
2024-10-28,Carse of Gowrie,0,0
2024-10-28,Wick and East Caithness,0,0
2024-10-28,Shetland South,0,0
2024-10-28,Southside/Newington,0,0
2024-10-28,Sgir' Uige agus Ceann a Tuath nan Loch,0,0
2024-10-28,Almond,1,0
2024-10-28,Na Hearadh agus Ceann a Deas nan Loch,0,0
2024-10-28,Rosyth,0,0
2024-10-28,"Arbroath West, Letham and Friockheim",0,0
2024-10-28,"Bishopton, Bridge of Weir & Langbank",0,0
2024-10-28,Coldside,0,0
2024-10-28,Clackmannanshire West,0,0
2024-10-28,Cambuslang East,0,0
2024-10-28,Calton,1,0
2024-10-28,Dunfermline North,0,0
2024-10-28,Springburn/Robroyston,1,0
2024-10-28,North East - Tayside,0,0
2024-10-28,Greater Pollok,1,0
2024-10-28,Perth City Centre,1,0
2024-10-28,Inverness South,0,0
2024-10-28,Dumbarton,0,0
2024-10-28,Drumchapel/Anniesland,1,0
2024-10-28,Blairgowrie and Glens,0,0
2024-10-28,Clackmannanshire Central,0,0
2024-10-28,Helensburgh and Lomond South,0,0
2024-10-28,Forth,1,0
2024-10-28,Dunfermline Central,1,0
2024-10-28,Kirriemuir & Dean,0,0
2024-10-28,Anderston/City/Yorkhill,1,0
2024-10-28,Musselburgh,1,0
2024-10-28,Mid Berwickshire,0,0
2024-10-28,Inverclyde East,0,0
2024-10-28,Inverclyde North,1,0
2024-10-28,Lomond North,0,0
2024-10-28,Strathtay,0,0
2024-10-28,Livingston North,0,0
2024-10-28,Stirling East,1,0
2024-10-28,Newton Mearns South and Eaglesham,0,0
2024-10-28,Galashiels and District,1,0
2024-10-28,Motherwell West,0,0
2024-10-28,Dyce/Bucksburn/Danestone,1,0
2024-10-28,Tay Bridgehead,0,0
2024-10-28,North Kincardine,0,0
2024-10-28,Brechin & Edzell,0,0
2024-10-28,East Kilbride South,0,0
2024-10-28,Clydesdale South,0,0
2024-10-28,Mid Argyll,0,0
2024-10-28,Cromarty Firth,0,0
2024-10-28,North Berwick Coastal,0,0
2024-10-28,Bearsden North,0,0
2024-10-28,Stonehaven and Lower Deeside,0,0
2024-10-28,West Mainland,0,0
2024-10-28,Ayr East,0,0
2024-10-28,West Garioch,0,0
2024-10-28,Inverclyde South,1,0
2024-10-28,"Huntly, Strathbogie and Howe of Alford",0,0
2024-10-28,"Leven, Kennoway and Largo",1,0
2024-10-28,Drum Brae/Gyle,0,0
2024-10-28,Portobello/Craigmillar,1,0
2024-10-28,Bishopbriggs South,0,0
2024-10-28,Irvine West,1,0
2024-10-28,Barraigh Bhatarsaigh Eirisgeigh Uibhist Deas,0,0
2024-10-28,Kingswells/Sheddocksley/Summerhill,0,0
2024-10-28,South Kintyre,0,0
2024-10-28,Hamilton West and Earnock,1,0
2024-10-28,Dunblane and Bridge of Allan,0,0
2024-10-28,Murdostoun,1,0
2024-10-28,Troup,0,0
2024-10-28,Clydesdale West,1,0
2024-10-28,Girvan and South Carrick,0,0
2024-10-28,East Sutherland and Edderton,0,0
2024-10-28,Leith Walk,0,0
2024-10-28,Preston/Seton/Gosford,0,0
2024-10-28,Thorniewood,0,0
2024-10-28,Liberton/Gilmerton,1,0
2024-10-28,Dunoon,0,0
2024-10-28,Badenoch and Strathspey,0,0
2024-10-28,Mearns,0,0
2024-10-28,Cupar,0,0
2024-10-28,Lower Braes,0,0
2024-10-28,"Maybole, North Carrick and Coylton",1,0
2024-10-28,Prestwick,1,0
2024-10-28,Annandale South,0,0
2024-10-28,Steornabhagh a Tuath,0,0
2024-10-28,An Taobh Siar agus Nis,0,0
2024-10-28,Bothwell and Uddingston,0,0
2024-10-28,Garscadden/Scotstounhill,1,0
2024-10-28,Inverness Ness-side,0,0
2024-10-28,Howe of Fife and Tay Coast,0,0
2024-10-28,Cumbernauld East,0,0
2024-10-28,Mossend and Holytown,0,0
2024-10-28,Highland,0,0
2024-10-28,Langside,1,0
2024-10-28,Kelso and District,0,0
2024-10-28,Rutherglen South,0,0
2024-10-28,Falkirk North,1,0
2024-10-28,Inverclyde East Central,0,0
2024-10-28,Speyside Glenlivet,0,0
2024-10-28,Renfrew North and Braehead,0,0
2024-10-28,Culloden and Ardersier,0,0
2024-10-28,"Clarkston, Netherlee and Williamwood",0,0
2024-10-28,Livingston South,1,0
2024-10-28,Airdrie Central,1,0
2024-10-28,Helensburgh and Lomond South,0,0
2024-10-28,Kyle,0,0
2024-10-28,Coatbridge North,0,0
2024-10-28,Shettleston,0,0
2024-10-28,"North, West and Central Sutherland",0,0
2024-10-28,Shetland West,0,0
2024-10-28,Hawick and Denholm,0,0
2024-10-28,Castle Douglas and Crocketford,0,0
2024-10-28,Rutherglen Central and North,0,0
2024-10-28,Strathmartine,0,0
2024-10-28,Inverurie and District,0,0
2024-10-28,Clackmannanshire South,1,0
2024-10-28,Newton Mearns North and Neilston,0,0
2024-10-28,Hamilton North and East,1,0
2024-10-28,Bo'ness and Blackness,0,0
2024-10-28,Blantyre,0,0
2024-10-28,Annick,0,0
2024-10-28,Craigentinny/Duddingston,1,0
2024-10-28,Lerwick North,0,0
2024-10-28,East Kilbride East,0,0
2024-10-28,Mid Galloway and Wigtown West,0,0
2024-10-28,Kilmarnock East and Hurlford,0,0
2024-10-28,Baillieston,0,0
2024-10-28,Inverclyde South West,0,0
2024-10-28,"Aboyne, Upper Deeside and Donside",0,0
2024-10-28,Airyhall/Broomhill/Garthdee,0,0
2024-10-28,Hamilton South,0,0
2024-10-28,Ft William and Ardnamurchan,0,0
2024-10-28,Loch a Tuath,0,0
2024-10-28,Falkirk South,1,0
2024-10-28,Kilmarnock North,0,0
2024-10-28,Dalkeith,0,0
2024-10-28,Grangemouth,1,0
2024-10-28,"Broxburn, Uphall and Winchburgh",0,0
2024-10-28,Kilbirnie and Beith,0,0
2024-10-28,Tain and Easter Ross,0,0
2024-10-28,Upper Braes,0,0
2024-10-28,Abbey,0,0
2024-10-28,Inverness West,0,0
2024-10-28,Kirkwall East,0,0
2024-10-28,Cambuslang West,1,0
2024-10-28,Almond and Earn,0,0
2024-10-28,Dunbar and East Linton,0,0
2024-10-28,Mid and Upper Nithsdale,0,0
2024-10-28,Bannockburn,0,0
2024-10-28,Helensburgh and Lomond South,0,0
2024-10-28,Heldon and Laich,0,0
2024-10-28,North West Dumfries,0,0
2024-10-28,Peterhead North and Rattray,0,0
2024-10-28,Cardonald,1,0
2024-10-28,Elgin City North,0,0
2024-10-28,Clackmannanshire East,0,0
2024-10-28,Fraserburgh and District,0,0
2024-10-28,"Stepps, Chryston and Muirhead",0,0
2024-10-28,Newlands/Auldburn,1,0
2024-10-28,Elgin City South,1,0
2024-10-28,Aird and Loch Ness,0,0
2024-10-28,Cowdenbeath,0,0
2024-10-28,Cumnock and New Cumnock,0,0
2024-10-28,Lomond,0,0
2024-10-28,Peterhead South and Cruden,0,0
2024-10-28,Larkhall,0,0
2024-10-28,Pollokshields,1,0
2024-10-28,Cumbernauld South,0,0
2024-10-28,Whitburn and Blackburn,1,0
2024-10-28,Paisley South West,1,0
2024-10-28,"Carse, Kinnaird and Tryst",0,0
2024-10-28,Bridge of Don,0,0
2024-10-28,Isle of Bute,0,0
2024-10-28,Paisley South East,0,0
2024-10-28,Kirkwall West and Orphir,0,0
2024-10-28,Lenzie & Kirkintilloch South,0,0
2024-10-28,Forfar & District,0,0
2024-10-28,Shetland North,0,0
2024-10-28,Dunfermline South,0,0
2024-10-28,Sighthill/Gorgie,0,0
2024-10-28,"Wester Ross, Strathpeffer and Lochalsh",0,0
2024-10-28,Mid Formartine,0,0
2024-10-28,Ballochmyle,1,0
2024-10-28,Saltcoats and Stevenston,1,0
2024-10-28,West Fife and Coastal Villages,0,0
2024-10-28,Paisley East and Central,0,0
2024-10-28,Armadale and Blackridge,0,0
2024-10-28,Banchory and Mid Deeside,0,0
2024-10-28,Strathearn,0,0
2024-10-28,Banff and District,0,0
2024-10-28,Carnoustie & District,0,0
2024-10-28,Tillydrone/Seaton/Old Aberdeen,0,0
2024-10-28,Dingwall and Seaforth,0,0
2024-10-28,Northfield/Mastrick North,0,0
2024-10-28,East Berwickshire,0,0
2024-10-28,Erskine & Inchinnan,0,0
2024-10-28,Cumbernauld North,0,0
2024-11-04,Stonehaven and Lower Deeside,1,1
2024-11-04,Kincorth/Nigg/Cove,1,1
2024-11-04,Kinross-shire,1,1
2024-11-04,Mossend and Holytown,0,0
2024-11-04,Troon,1,1
2024-11-04,Caol and Mallaig,1,1
2024-11-04,Paisley North West,0,0
2024-11-04,Inverness Ness-side,1,1
2024-11-04,Anderston/City/Yorkhill,0,0
2024-11-04,Airyhall/Broomhill/Garthdee,1,1
2024-11-04,Stirling West,1,1
2024-11-04,Forth,0,0
2024-11-04,Inverness Millburn,0,0
2024-11-04,Morningside,1,1
2024-11-04,Coatbridge West,1,1
2024-11-04,Canal,0,0
2024-11-04,Partick East/Kelvindale,0,0
2024-11-04,East Kilbride Central South,1,1
2024-11-04,Motherwell North,0,0
2024-11-04,Coatbridge South,0,0
2024-11-04,Penicuik,1,1
2024-11-04,Kingswells/Sheddocksley/Summerhill,1,1
2024-11-04,Cambuslang East,1,1
2024-11-04,Motherwell South East and Ravenscraig,0,0
2024-11-04,Clydesdale South,1,1
2024-11-04,Clydesdale West,0,0
2024-11-04,East Kilbride South,0,0
2024-11-04,Hawick and Denholm,1,1
2024-11-04,Haddington and Lammermuir,1,1
2024-11-04,Paisley South West,0,0
2024-11-04,Springburn/Robroyston,0,0
2024-11-04,Inverness South,1,1
2024-11-04,East Kilbride East,1,1
2024-11-04,Forres,1,1
2024-11-04,Speyside Glenlivet,1,1
2024-11-04,Coatbridge North,0,0
2024-11-04,Kilwinning,1,1
2024-11-04,Montrose & District,0,0
2024-11-04,Hamilton North and East,0,0
2024-11-04,Barraigh Bhatarsaigh Eirisgeigh Uibhist Deas,1,1
2024-11-04,Victoria Park,0,0
2024-11-04,Upper Braes,1,1
2024-11-04,Annandale East and Eskdale,1,1
2024-11-04,Cambuslang West,0,0
2024-11-04,Inverness West,1,1
2024-11-04,Paisley South East,1,1
2024-11-04,Badenoch and Strathspey,0,0
2024-11-04,Grangemouth,0,0
2024-11-04,Dyce/Bucksburn/Danestone,0,0
2024-11-04,Airdrie South,0,0
