year,month,authorLocation,index,DETECTED CRIME,negative,neutral,positive,total,neg_ratio
2019,6,Perth and Kinross,86,47,0.0,0.0,0.0,0.0,0.0
2019,6,Renfrewshire,87,103,0.0,0.0,0.0,0.0,0.0
2019,6,Scottish Borders,88,81,0.0,0.0,0.0,0.0,0.0
2019,6,Shetland,89,5,0.0,0.0,0.0,0.0,0.0
2019,6,South Ayrshire,90,65,0.0,0.0,0.0,0.0,0.0
2019,6,South Lanarkshire,91,231,0.0,0.0,0.0,0.0,0.0
2019,6,Stirling,92,84,0.0,0.0,0.0,0.0,0.0
2019,6,West Dunbartonshire,93,96,0.0,0.0,0.0,0.0,0.0
2019,6,West Lothian,94,95,0.0,0.0,0.0,0.0,0.0
2019,6,Western Isles - Eilean Siar,95,5,0.0,0.0,0.0,0.0,0.0
2019,7,Aberdeen,96,116,0.0,0.0,1.0,1.0,0.0
2019,7,Aberdeenshire,97,99,0.0,0.0,0.0,0.0,0.0
2019,7,Angus,98,54,0.0,0.0,0.0,0.0,0.0
2019,7,Argyll and Bute,99,70,0.0,0.0,0.0,0.0,0.0
2019,7,Clackmannanshire,100,36,1.0,0.0,0.0,1.0,1.0
2019,7,Dumfries and Galloway,101,153,0.0,0.0,0.0,0.0,0.0
2019,7,Dundee,102,99,0.0,0.0,0.0,0.0,0.0
2019,7,East Ayrshire,103,83,0.0,0.0,0.0,0.0,0.0
2019,7,East Dunbartonshire,104,38,0.0,0.0,0.0,0.0,0.0
2019,7,East Lothian,105,50,0.0,0.0,0.0,0.0,0.0
2019,7,East Renfrewshire,106,18,0.0,0.0,0.0,0.0,0.0
2019,7,Edinburgh,107,300,0.0,0.0,0.0,0.0,0.0
2019,7,Falkirk,108,119,0.0,0.0,0.0,0.0,0.0
2019,7,Fife,109,216,0.0,0.0,0.0,0.0,0.0
2019,7,Glasgow,110,614,0.0,0.0,0.0,0.0,0.0
2019,7,Highland,111,114,0.0,0.0,1.0,1.0,0.0
2019,7,Inverclyde,112,57,0.0,0.0,0.0,0.0,0.0
2019,7,Midlothian,113,66,0.0,0.0,0.0,0.0,0.0
2019,7,Moray,114,32,0.0,0.0,0.0,0.0,0.0
2019,7,North Ayrshire,115,136,0.0,0.0,0.0,0.0,0.0
2019,7,North Lanarkshire,116,315,0.0,0.0,0.0,0.0,0.0
2019,7,Orkney,117,11,0.0,0.0,0.0,0.0,0.0
2019,7,Perth and Kinross,118,52,0.0,0.0,0.0,0.0,0.0
2019,7,Renfrewshire,119,111,0.0,0.0,0.0,0.0,0.0
