PSOS_MMW_Name,COUNCIL NAME,WARD CODE,Population_Census_2022-03-20,Area,longitude,latitude,CALENDAR YEAR,CALENDAR MONTH,"Alcohol offences, travelling to and from sporting event",Breach of football banning order,Breach of the peace,Carrying of Knives etc S Act 1993,Drunk in or attempting to enter designated sports ground,Mobbing and rioting,Offensive behaviour at football (OBaFaTBSA 2012),Permitting riotous behaviour in licensed premises,Possession of an offensive weapon,Possession of offensive weapon used in other criminal activity,Public mischief - including wasting police time,Racially aggravated conduct,Racially aggravated harassment,Serious Assault,Sports grounds offences possessing alcohol etc,Stirring up hatred: Racial,Threatening or abusive behaviour,TOTAL DETECTED CRIME
Abbey,Dumfries and Galloway,S13002884,10176.0,204.87,-3.64425,54.962841,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
"Aboyne, Upper Deeside and Donside",Aberdeenshire,S13002503,11133.0,1748.5,-3.17978,57.07965,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
Aird and Loch Ness,Highland,S13002674,12093.0,2451.4,-4.70279,57.27546,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Airdrie Central,North Lanarkshire,S13002719,16035.0,5.0514,-3.98568,55.86562,2019,4,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,27.0,41.0
Airdrie North,North Lanarkshire,S13002718,19368.0,76.613,-3.9159,55.89956,2019,4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,15.0
Airdrie South,North Lanarkshire,S13002722,19213.0,19.416,-3.94822,55.85219,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0
Airyhall/Broomhill/Garthdee,Aberdeen City,S13002486,15585.0,4.0354,-2.13887,57.12863,2019,4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0
Almond,City of Edinburgh,S13002583,34967.0,64.341,-3.35969,55.95999,2019,4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,15.0,22.0
Almond and Earn,Perth and Kinross,S13002746,10162.0,297.82,-3.58196,56.35734,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
An Taobh Siar agus Nis,Western Isles - Eilean Siar,S13002608,2975.0,417.67,-6.38777,58.37009,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anderston/City/Yorkhill,Glasgow City,S13002976,36626.0,5.1913,-4.26673,55.861858,2019,4,0.0,1.0,33.0,14.0,0.0,1.0,0.0,0.0,1.0,7.0,2.0,4.0,0.0,9.0,0.0,0.0,77.0,149.0
Annandale East and Eskdale,Dumfries and Galloway,S13002544,10214.0,742.96,-3.10576,55.16366,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,7.0
Annandale North,Dumfries and Galloway,S13002543,14576.0,745.54,-3.4281,55.24105,2019,4,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,17.0
Annandale South,Dumfries and Galloway,S13002542,13849.0,195.62,-3.3552,55.02153,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0
Annick,East Ayrshire,S13002553,15207.0,193.09,-4.52057,55.70518,2019,4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0
Arbroath East & Lunan,Angus,S13002514,13375.0,62.54,-2.60609,56.61933,2019,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,11.0,16.0
"Arbroath West, Letham and Friockheim",Angus,S13002872,17554.0,211.46,-2.75154,56.609291,2019,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,7.0
Ardrossan and Arran,North Ayrshire,S13002708,15127.0,449.27,-5.23906,55.57804,2019,4,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,16.0
Armadale and Blackridge,West Lothian,S13002828,16394.0,51.619,-3.72108,55.91069,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,7.0
Avondale and Stonehouse,South Lanarkshire,S13002791,18732.0,250.71,-4.09864,55.65808,2019,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0
Ayr East,South Ayrshire,S13002782,12585.0,3.6111,-4.61039,55.44582,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,6.0
Ayr North,South Ayrshire,S13002781,16504.0,6.4687,-4.6102,55.47117,2019,4,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,31.0
Ayr West,South Ayrshire,S13002783,17030.0,10.5,-4.64615,55.43699,2019,4,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,29.0
Badenoch and Strathspey,Highland,S13002682,12782.0,2330.9,-4.0048,57.07207,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
Baillieston,Glasgow City,S13002660,22825.0,10.078,-4.125,55.8478,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,13.0
Ballochmyle,East Ayrshire,S13002559,14092.0,340.12,-4.20622,55.50618,2019,4,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0
Banchory and Mid Deeside,Aberdeenshire,S13002504,11253.0,408.35,-2.63995,57.00715,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
Banff and District,Aberdeenshire,S13002489,11477.0,265.25,-2.64455,57.60333,2019,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0
Bannockburn,Stirling,S13002813,11336.0,44.035,-3.86277,56.07828,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,7.0
Barraigh Bhatarsaigh Eirisgeigh Uibhist Deas,Western Isles - Eilean Siar,S13002600,3093.0,494.14,-7.33197,57.317039,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Barrhead, Liboside and Uplawmoor",East Renfrewshire,S13002914,19210.0,38.313,-4.48078,55.783371,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0
Bathgate,West Lothian,S13002827,22523.0,24.547,-3.62534,55.904541,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0,12.0
Bearsden North,East Dunbartonshire,S13002563,14816.0,8.0982,-4.3459,55.92977,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Bearsden South,East Dunbartonshire,S13002564,13670.0,6.7791,-4.32475,55.91601,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Beinn na Foghla agus Uibhist a Tuath,Western Isles - Eilean Siar,S13002601,2877.0,425.93,-7.36059,57.614029,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bellshill,North Lanarkshire,S13002725,15762.0,12.927,-4.02695,55.81636,2019,4,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,24.0
Bishopbriggs North and Campsie,East Dunbartonshire,S13002904,19968.0,101.41,-4.20779,55.964069,2019,4,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,5.0,13.0
Bishopbriggs South,East Dunbartonshire,S13002833,15585.0,4.8548,-4.20367,55.9047,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
"Bishopton, Bridge of Weir & Langbank",Renfrewshire,S13002759,16786.0,58.781,-4.54994,55.90625,2019,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Black Isle,Highland,S13002671,10517.0,242.97,-4.25612,57.59024,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blairgowrie and Glens,Perth and Kinross,S13002740,11248.0,531.36,-3.46284,56.74657,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
Blantyre,South Lanarkshire,S13002801,15999.0,7.8996,-4.09087,55.79328,2019,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,12.0,21.0
Bo'ness and Blackness,Falkirk,S13002609,15353.0,27.379,-3.60308,56.00267,2019,4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0
Bonnybridge and Larbert,Falkirk,S13002613,16481.0,32.745,-3.86374,56.01803,2019,4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,31.0
Bonnyrigg,Midlothian,S13002691,18235.0,7.6611,-3.11436,55.8724,2019,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0
Bothwell and Uddingston,South Lanarkshire,S13002802,13185.0,8.1869,-4.07498,55.81061,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,11.0
Brechin & Edzell,Angus,S13002868,11026.0,715.58,-2.84959,56.838482,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Bridge of Don,Aberdeen City,S13002477,18883.0,24.686,-2.10774,57.20061,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Broxburn, Uphall and Winchburgh",West Lothian,S13002821,21137.0,39.068,-3.50048,55.946419,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,11.0
"Buckhaven, Methil and Wemyss Villages",Fife,S13002640,18073.0,20.328,-3.0695,56.16572,2019,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,24.0
Buckie,Moray,S13002698,10420.0,17.285,-2.94788,57.67423,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,9.0
"Burntisland, Kinghorn and Western Kirkcaldy",Fife,S13002627,14524.0,56.041,-3.23933,56.0952,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
Calton,Glasgow City,S13002649,28803.0,6.1845,-4.21204,55.84713,2019,4,1.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,48.0
Cambuslang East,South Lanarkshire,S13002800,18299.0,10.946,-4.13696,55.81572,2019,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0
Cambuslang West,South Lanarkshire,S13002799,16874.0,5.9284,-4.17572,55.81469,2019,4,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,7.0,17.0
Canal,Glasgow City,S13002656,28156.0,14.442,-4.26235,55.88898,2019,4,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,18.0,30.0
Caol and Mallaig,Highland,S13002673,8872.0,2042.6,-5.20947,56.9711,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cardonald,Glasgow City,S13002970,28706.0,7.29,-4.34453,55.844158,2019,4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,21.0
Carnoustie & District,Angus,S13002871,13632.0,67.791,-2.74923,56.513302,2019,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
Carse of Gowrie,Perth and Kinross,S13002738,9916.0,166.47,-3.21709,56.43844,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
"Carse, Kinnaird and Tryst",Falkirk,S13002612,21910.0,40.111,-3.78254,56.05807,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
Castle Douglas and Crocketford,Dumfries and Galloway,S13002883,9333.0,460.73,-3.86875,54.99408,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,5.0
Central Buchan,Aberdeenshire,S13002492,14303.0,385.71,-2.07186,57.52327,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
City Centre,City of Edinburgh,S13002929,33106.0,4.9776,-3.19714,55.950142,2019,4,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,9.0,0.0,0.0,47.0,77.0
Clackmannanshire Central,Clackmannanshire,S13002529,8168.0,10.157,-3.76829,56.13267,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,9.0
Clackmannanshire East,Clackmannanshire,S13002531,8518.0,68.86,-3.67539,56.15025,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Clackmannanshire North,Clackmannanshire,S13002528,10787.0,54.725,-3.75749,56.176,2019,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,10.0
Clackmannanshire South,Clackmannanshire,S13002530,11938.0,6.793,-3.79572,56.11355,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,19.0
Clackmannanshire West,Clackmannanshire,S13002527,12367.0,18.51,-3.8407,56.15244,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,5.0
"Clarkston, Netherlee and Williamwood",East Renfrewshire,S13002917,20831.0,7.6103,-4.27835,55.786209,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Clydebank Central,West Dunbartonshire,S13002818,15507.0,4.8224,-4.40977,55.91202,2019,4,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,20.0
Clydebank Waterfront,West Dunbartonshire,S13002819,15075.0,8.5351,-4.43357,55.91001,2019,4,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,19.0,37.0
Clydesdale East,South Lanarkshire,S13002789,13118.0,814.82,-3.70279,55.48433,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Clydesdale North,South Lanarkshire,S13002788,14820.0,154.02,-3.69522,55.7499,2019,4,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,15.0,23.0
Clydesdale South,South Lanarkshire,S13002790,14746.0,300.84,-3.89002,55.58427,2019,4,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,12.0
Clydesdale West,South Lanarkshire,S13002787,19896.0,61.781,-3.82795,55.72381,2019,4,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,13.0
Coatbridge North,North Lanarkshire,S13003048,15148.0,10.676,-4.0442,55.869789,2019,4,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,33.0
Coatbridge South,North Lanarkshire,S13002721,17058.0,5.8606,-4.01251,55.84921,2019,4,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,24.0
Coatbridge West,North Lanarkshire,S13002720,13530.0,4.035,-4.05668,55.85302,2019,4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0
Coldside,Dundee City,S13002548,19288.0,4.1397,-2.98447,56.473629,2019,4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,17.0,28.0
Colinton/Fairmilehead,City of Edinburgh,S13002590,24468.0,19.993,-3.24457,55.89182,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,9.0
Corstorphine/Murrayfield,City of Edinburgh,S13002588,23401.0,6.9072,-3.2595,55.94369,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Cowal,Argyll and Bute,S13002521,7167.0,847.49,-5.06425,56.083031,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
Cowdenbeath,Fife,S13002625,22010.0,36.282,-3.34532,56.10342,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,7.0,11.0
Craigentinny/Duddingston,City of Edinburgh,S13002596,29097.0,8.5612,-3.14804,55.95211,2019,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,11.0,15.0
Cromarty Firth,Highland,S13002668,12747.0,417.19,-4.38805,57.72547,2019,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0
Culloden and Ardersier,Highland,S13002679,11543.0,83.715,-4.01917,57.50477,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
Cumbernauld East,North Lanarkshire,S13003045,16655.0,25.322,-3.93398,55.952942,2019,4,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,19.0,26.0
Cumbernauld North,North Lanarkshire,S13002713,19097.0,16.377,-4.02139,55.95245,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,6.0
Cumbernauld South,North Lanarkshire,S13002714,16518.0,5.1289,-4.00013,55.94107,2019,4,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,16.0
Cumnock and New Cumnock,East Ayrshire,S13002560,13639.0,314.14,-4.24735,55.39171,2019,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,19.0
Cupar,Fife,S13002638,13888.0,111.83,-2.98812,56.30789,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0
Dalkeith,Midlothian,S13002692,14983.0,16.229,-3.07794,55.90993,2019,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,15.0
Dalry and West Kilbride,North Ayrshire,S13002709,10135.0,112.7,-4.76929,55.70584,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dee and Glenkens,Dumfries and Galloway,S13002882,9866.0,1212.9,-4.11951,55.036121,2019,4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0
Dennistoun,Glasgow City,S13002988,20274.0,5.2146,-4.21872,55.868622,2019,4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0,19.0,30.0
Denny and Banknock,Falkirk,S13002611,19390.0,54.384,-3.95256,56.01721,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,12.0,15.0
Dingwall and Seaforth,Highland,S13002670,13029.0,112.93,-4.47876,57.57578,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Doon Valley,East Ayrshire,S13002561,11062.0,261.1,-4.44165,55.19258,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,5.0
Drum Brae/Gyle,City of Edinburgh,S13002585,23638.0,7.2221,-3.29745,55.94447,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
Drumchapel/Anniesland,Glasgow City,S13002654,28881.0,7.2633,-4.36244,55.90475,2019,4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,17.0
Dumbarton,West Dunbartonshire,S13002816,16979.0,46.294,-4.5232,55.9463,2019,4,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,15.0
Dunbar and East Linton,East Lothian,S13002576,15764.0,188.38,-2.54797,55.95922,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
Dunblane and Bridge of Allan,Stirling,S13002809,14244.0,69.338,-3.92302,56.18499,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0
Dunfermline Central,Fife,S13002620,21423.0,20.701,-3.47288,56.07094,2019,4,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,22.0,33.0
Dunfermline North,Fife,S13002619,15872.0,18.319,-3.44636,56.08779,2019,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,15.0
Dunfermline South,Fife,S13002621,23343.0,8.332,-3.42557,56.05739,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
Dunoon,Argyll and Bute,S13002522,7217.0,71.35,-5.00475,55.906631,2019,4,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0
Dyce/Bucksburn/Danestone,Aberdeen City,S13002476,21937.0,48.016,-2.222,57.20009,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0,14.0
East Berwickshire,Scottish Borders,S13002767,11381.0,296.1,-2.22726,55.82954,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,9.0
East Centre,Glasgow City,S13002658,27888.0,6.3155,-4.19431,55.86392,2019,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,16.0,23.0
East End,Dundee City,S13002551,15438.0,5.3029,-2.91768,56.476109,2019,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,12.0,17.0
East Garioch,Aberdeenshire,S13002500,14044.0,120.84,-2.24764,57.23842,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
